Year,Period
2023,APR
2023,FEB
2023,JAN
2023,MAR
2023,AUG
2023,DEC
2023,JUL
2023,JUN
2023,MAY
2023,NOV
2023,OCT
2023,SEP
2023,YEAR
2022,APR
2022,FEB
2022,JAN
2022,MAR
2022,AUG
2022,DEC
2022,JUL
2022,JUN
2022,MAY
2022,NOV
2022,OCT
2022,SEP
2022,YEAR
2021,APR
2021,FEB
2021,JAN
2021,MAR
2021,AUG
2021,DEC
2021,JUL
2021,JUN
2021,MAY
2021,NOV
2021,OCT
2021,SEP
2021,YEAR
2020,APR
2020,FEB
2020,JAN
2020,MAR
2020,AUG
2020,DEC
2020,JUL
2020,JUN
2020,MAY
2020,NOV
2020,OCT
2020,SEP
2020,YEAR
2019,APR
2019,FEB
2019,JAN
2019,MAR
2019,AUG
2019,DEC
2019,JUL
2019,JUN
2019,MAY
2019,NOV
2019,OCT
2019,SEP
2019,YEAR
2018,APR
2018,FEB
2018,JAN
2018,MAR
2018,AUG
2018,DEC
2018,JUL
2018,JUN
2018,MAY
2018,NOV
2018,OCT
2018,SEP
2018,YEAR
2017,APR
2017,FEB
2017,JAN
2017,MAR
2017,AUG
2017,DEC
2017,JUL
2017,JUN
2017,MAY
2017,NOV
2017,OCT
2017,SEP
2017,YEAR
2016,APR
2016,FEB
2016,JAN
2016,MAR
2016,AUG
2016,DEC
2016,JUL
2016,JUN
2016,MAY
2016,NOV
2016,OCT
2016,SEP
2016,YEAR
2015,APR
2015,FEB
2015,JAN
2015,MAR
2015,AUG
2015,DEC
2015,JUL
2015,JUN
2015,MAY
2015,NOV
2015,OCT
2015,SEP
2015,YEAR
2014,APR
2014,FEB
2014,JAN
2014,MAR
2014,AUG
2014,DEC
2014,JUL
2014,JUN
2014,MAY
2014,NOV
2014,OCT
2014,SEP
2014,YEAR
2013,APR
2013,FEB
2013,JAN
2013,MAR
2013,AUG
2013,DEC
2013,JUL
2013,JUN
2013,MAY
2013,NOV
2013,OCT
2013,SEP
2013,YEAR
2012,APR
2012,FEB
2012,JAN
2012,MAR
2012,AUG
2012,DEC
2012,JUL
2012,JUN
2012,MAY
2012,NOV
2012,OCT
2012,SEP
2012,YEAR
2011,APR
2011,FEB
2011,JAN
2011,MAR
2011,AUG
2011,DEC
2011,JUL
2011,JUN
2011,MAY
2011,NOV
2011,OCT
2011,SEP
2011,YEAR
2010,APR
2010,FEB
2010,JAN
2010,MAR
2010,AUG
2010,DEC
2010,JUL
2010,JUN
2010,MAY
2010,NOV
2010,OCT
2010,SEP
2010,YEAR
2009,APR
2009,FEB
2009,JAN
2009,MAR
2009,AUG
2009,DEC
2009,JUL
2009,JUN
2009,MAY
2009,NOV
2009,OCT
2009,SEP
2009,YEAR
2008,APR
2008,FEB
2008,JAN
2008,MAR
2008,AUG
2008,DEC
2008,JUL
2008,JUN
2008,MAY
2008,NOV
2008,OCT
2008,SEP
2008,YEAR
2007,APR
2007,FEB
2007,JAN
2007,MAR
2007,AUG
2007,DEC
2007,JUL
2007,JUN
2007,MAY
2007,NOV
2007,OCT
2007,SEP
2007,YEAR
2006,APR
2006,FEB
2006,JAN
2006,MAR
2006,AUG
2006,DEC
2006,JUL
2006,JUN
2006,MAY
2006,NOV
2006,OCT
2006,SEP
2006,YEAR
2005,APR
2005,FEB
2005,JAN
2005,MAR
2005,AUG
2005,DEC
2005,JUL
2005,JUN
2005,MAY
2005,NOV
2005,OCT
2005,SEP
2005,YEAR
2004,APR
2004,FEB
2004,JAN
2004,MAR
2004,AUG
2004,DEC
2004,JUL
2004,JUN
2004,MAY
2004,NOV
2004,OCT
2004,SEP
2004,YEAR
2003,APR
2003,FEB
2003,JAN
2003,MAR
2003,AUG
2003,DEC
2003,JUL
2003,JUN
2003,MAY
2003,NOV
2003,OCT
2003,SEP
2003,YEAR
2002,APR
2002,FEB
2002,JAN
2002,MAR
2002,AUG
2002,DEC
2002,JUL
2002,JUN
2002,MAY
2002,NOV
2002,OCT
2002,SEP
2002,YEAR
2001,APR
2001,FEB
2001,JAN
2001,MAR
2001,AUG
2001,DEC
2001,JUL
2001,JUN
2001,MAY
2001,NOV
2001,OCT
2001,SEP
2001,YEAR
2000,APR
2000,FEB
2000,JAN
2000,MAR
2000,AUG
2000,DEC
2000,JUL
2000,JUN
2000,MAY
2000,NOV
2000,OCT
2000,SEP
2000,YEAR
1999,APR
1999,FEB
1999,JAN
1999,MAR
1999,AUG
1999,DEC
1999,JUL
1999,JUN
1999,MAY
1999,NOV
1999,OCT
1999,SEP
1999,YEAR
1998,APR
1998,FEB
1998,JAN
1998,MAR
1998,AUG
1998,DEC
1998,JUL
1998,JUN
1998,MAY
1998,NOV
1998,OCT
1998,SEP
1998,YEAR
1997,APR
1997,FEB
1997,JAN
1997,MAR
1997,AUG
1997,DEC
1997,JUL
1997,JUN
1997,MAY
1997,NOV
1997,OCT
1997,SEP
1997,YEAR
1996,APR
1996,FEB
1996,JAN
1996,MAR
1996,AUG
1996,DEC
1996,JUL
1996,JUN
1996,MAY
1996,NOV
1996,OCT
1996,SEP
1996,YEAR
1995,APR
1995,FEB
1995,JAN
1995,MAR
1995,AUG
1995,DEC
1995,JUL
1995,JUN
1995,MAY
1995,NOV
1995,OCT
1995,SEP
1995,YEAR
1994,APR
1994,FEB
1994,JAN
1994,MAR
1994,AUG
1994,DEC
1994,JUL
1994,JUN
1994,MAY
1994,NOV
1994,OCT
1994,SEP
1994,YEAR
1993,APR
1993,FEB
1993,JAN
1993,MAR
1993,AUG
1993,DEC
1993,JUL
1993,JUN
1993,MAY
1993,NOV
1993,OCT
1993,SEP
1993,YEAR
1992,APR
1992,FEB
1992,JAN
1992,MAR
1992,AUG
1992,DEC
1992,JUL
1992,JUN
1992,MAY
1992,NOV
1992,OCT
1992,SEP
1992,YEAR
1991,APR
1991,FEB
1991,JAN
1991,MAR
1991,AUG
1991,DEC
1991,JUL
1991,JUN
1991,MAY
1991,NOV
1991,OCT
1991,SEP
1991,YEAR
1990,APR
1990,FEB
1990,JAN
1990,MAR
1990,AUG
1990,DEC
1990,JUL
1990,JUN
1990,MAY
1990,NOV
1990,OCT
1990,SEP
1990,YEAR
1989,APR
1989,FEB
1989,JAN
1989,MAR
1989,AUG
1989,DEC
1989,JUL
1989,JUN
1989,MAY
1989,NOV
1989,OCT
1989,SEP
1989,YEAR
1988,APR
1988,FEB
1988,JAN
1988,MAR
1988,AUG
1988,DEC
1988,JUL
1988,JUN
1988,MAY
1988,NOV
1988,OCT
1988,SEP
1988,YEAR
1987,APR
1987,FEB
1987,JAN
1987,MAR
1987,AUG
1987,DEC
1987,JUL
1987,JUN
1987,MAY
1987,NOV
1987,OCT
1987,SEP
1987,YEAR
1986,APR
1986,FEB
1986,JAN
1986,MAR
1986,AUG
1986,DEC
1986,JUL
1986,JUN
1986,MAY
1986,NOV
1986,OCT
1986,SEP
1986,YEAR
1985,APR
1985,FEB
1985,JAN
1985,MAR
1985,AUG
1985,DEC
1985,JUL
1985,JUN
1985,MAY
1985,NOV
1985,OCT
1985,SEP
1985,YEAR
1984,APR
1984,FEB
1984,JAN
1984,MAR
1984,AUG
1984,DEC
1984,JUL
1984,JUN
1984,MAY
1984,NOV
1984,OCT
1984,SEP
1984,YEAR
1983,APR
1983,FEB
1983,JAN
1983,MAR
1983,AUG
1983,DEC
1983,JUL
1983,JUN
1983,MAY
1983,NOV
1983,OCT
1983,SEP
1983,YEAR
1982,APR
1982,FEB
1982,JAN
1982,MAR
1982,AUG
1982,DEC
1982,JUL
1982,JUN
1982,MAY
1982,NOV
1982,OCT
1982,SEP
1982,YEAR
1981,APR
1981,FEB
1981,JAN
1981,MAR
1981,AUG
1981,DEC
1981,JUL
1981,JUN
1981,MAY
1981,NOV
1981,OCT
1981,SEP
1981,YEAR
1980,APR
1980,FEB
1980,JAN
1980,MAR
1980,AUG
1980,DEC
1980,JUL
1980,JUN
1980,MAY
1980,NOV
1980,OCT
1980,SEP
1980,YEAR
1979,APR
1979,FEB
1979,JAN
1979,MAR
1979,AUG
1979,DEC
1979,JUL
1979,JUN
1979,MAY
1979,NOV
1979,OCT
1979,SEP
1979,YEAR
1978,APR
1978,FEB
1978,JAN
1978,MAR
1978,AUG
1978,DEC
1978,JUL
1978,JUN
1978,MAY
1978,NOV
1978,OCT
1978,SEP
1978,YEAR
1977,APR
1977,FEB
1977,JAN
1977,MAR
1977,AUG
1977,DEC
1977,JUL
1977,JUN
1977,MAY
1977,NOV
1977,OCT
1977,SEP
1977,YEAR
1976,APR
1976,FEB
1976,JAN
1976,MAR
1976,AUG
1976,DEC
1976,JUL
1976,JUN
1976,MAY
1976,NOV
1976,OCT
1976,SEP
1976,YEAR
1975,APR
1975,FEB
1975,JAN
1975,MAR
1975,AUG
1975,DEC
1975,JUL
1975,JUN
1975,MAY
1975,NOV
1975,OCT
1975,SEP
1975,YEAR
1974,APR
1974,FEB
1974,JAN
1974,MAR
1974,AUG
1974,DEC
1974,JUL
1974,JUN
1974,MAY
1974,NOV
1974,OCT
1974,SEP
1974,YEAR
1973,APR
1973,FEB
1973,JAN
1973,MAR
1973,AUG
1973,DEC
1973,JUL
1973,JUN
1973,MAY
1973,NOV
1973,OCT
1973,SEP
1973,YEAR
1972,APR
1972,FEB
1972,JAN
1972,MAR
1972,AUG
1972,DEC
1972,JUL
1972,JUN
1972,MAY
1972,NOV
1972,OCT
1972,SEP
1972,YEAR
1971,APR
1971,FEB
1971,JAN
1971,MAR
1971,AUG
1971,DEC
1971,JUL
1971,JUN
1971,MAY
1971,NOV
1971,OCT
1971,SEP
1971,YEAR
1970,APR
1970,FEB
1970,JAN
1970,MAR
1970,AUG
1970,DEC
1970,JUL
1970,JUN
1970,MAY
1970,NOV
1970,OCT
1970,SEP
1970,YEAR
